,Name,PTS,AST,REB,FG_PCT,FG3_PCT,FT_PCT,STL,BLK
350,Terry Rozier,4352.0,1106.0,1483.0,39.0,35.0,80.0,330.0,84.0
145,Shai Gilgeous-Alexander,3050.0,709.0,810.0,49.0,38.0,80.0,202.0,115.0
16,Deandre Ayton,2734.0,279.0,1794.0,58.0,14.0,76.0,119.0,192.0
230,Kyle Kuzma,4050.0,497.0,1500.0,44.0,33.0,72.0,146.0,117.0
165,Gary Harris,4987.0,875.0,1073.0,43.0,36.0,79.0,500.0,95.0
377,Garrett Temple,4778.0,1240.0,1713.0,38.0,29.0,65.0,622.0,243.0
281,E'Twaun Moore,4712.0,1050.0,1205.0,44.0,37.0,75.0,394.0,130.0
360,Collin Sexton,3915.0,638.0,585.0,46.0,39.0,83.0,163.0,20.0
402,T.J. Warren,5142.0,397.0,1372.0,51.0,28.0,77.0,327.0,168.0
120,James Ennis III,4103.0,563.0,1979.0,42.0,33.0,73.0,381.0,179.0
426,Ivica Zubac,2648.0,338.0,1995.0,57.0,0.0,77.0,89.0,271.0
235,Caris LeVert,3975.0,1088.0,1094.0,43.0,33.0,74.0,326.0,90.0
378,Daniel Theis,2354.0,423.0,1501.0,54.0,32.0,70.0,152.0,278.0
26,Aron Baynes,3082.0,417.0,2377.0,49.0,15.0,78.0,116.0,252.0
330,Dwight Powell,3168.0,408.0,1909.0,56.0,23.0,72.0,287.0,194.0
391,Fred VanVleet,3310.0,1223.0,786.0,40.0,39.0,85.0,319.0,95.0
52,Mikal Bridges,2122.0,430.0,817.0,49.0,37.0,83.0,287.0,135.0
383,Anthony Tolliver,5655.0,838.0,3120.0,35.0,31.0,66.0,346.0,274.0
253,Lauri Markkanen,3310.0,264.0,1499.0,44.0,36.0,84.0,136.0,108.0
332,Taurean Prince,3786.0,655.0,1410.0,41.0,37.0,83.0,294.0,159.0
38,Nemanja Bjelica,3155.0,713.0,1862.0,45.0,34.0,71.0,252.0,161.0
357,Tomas Satoransky,2406.0,1367.0,963.0,47.0,36.0,81.0,279.0,52.0
